rule_id,scope,title,summary,created,modified,active_time,label_names,source_url,json_path,markdown_path
1011532864321359872,enterprise,京东开放平台商业空间类目商品商家考核规则,京东开放平台商业空间类目商品商家考核规则,2023-08-23,2026-01-05,2023-08-29,,https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1011532864321359872,data\jd_rules\json\1011532864321359872_京东开放平台商业空间类目商品商家考核规则.json,data\jd_rules\markdown\1011532864321359872_京东开放平台商业空间类目商品商家考核规则.md
1051386092487577600,enterprise,京东开放平台过期退/随时退服务规则,京东开放平台过期退/随时退服务规则,2023-12-11,2024-09-04,2023-12-17,,https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1051386092487577600,data\jd_rules\json\1051386092487577600_京东开放平台过期退_随时退服务规则.json,data\jd_rules\markdown\1051386092487577600_京东开放平台过期退_随时退服务规则.md
1053951817668497408,enterprise,2024年京东开放平台换签续费公告,2024年京东开放平台换签续费公告,2023-12-18,2024-09-03,2023-12-17,,https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1053951817668497408,data\jd_rules\json\1053951817668497408_2024年京东开放平台换签续费公告.json,data\jd_rules\markdown\1053951817668497408_2024年京东开放平台换签续费公告.md
1065472910879232000,enterprise,京东开放平台家用含钛锅具品质认证质量标准,京东开放平台家用含钛锅具品质认证质量标准,2024-01-19,2024-09-03,2024-01-25,,https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1065472910879232000,data\jd_rules\json\1065472910879232000_京东开放平台家用含钛锅具品质认证质量标准.json,data\jd_rules\markdown\1065472910879232000_京东开放平台家用含钛锅具品质认证质量标准.md
1076394019191394304,enterprise,京东开放平台质保期服务规则,京东开放平台质保期服务规则,2024-02-18,2026-01-06,2025-11-24,,https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1076394019191394304,data\jd_rules\json\1076394019191394304_京东开放平台质保期服务规则.json,data\jd_rules\markdown\1076394019191394304_京东开放平台质保期服务规则.md
1079642425309401088,enterprise,京东开放平台健康类商品品质抽检规范,京东开放平台健康类商品品质抽检规范,2024-02-27,2024-09-03,2024-03-04,,https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1079642425309401088,data\jd_rules\json\1079642425309401088_京东开放平台健康类商品品质抽检规范.json,data\jd_rules\markdown\1079642425309401088_京东开放平台健康类商品品质抽检规范.md
1082222368681758720,enterprise,京东好燕窝-常温鲜炖燕窝品质认证质量标准,京东好燕窝-常温鲜炖燕窝品质认证质量标准,2024-03-05,2024-08-14,2024-08-19,,https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1082222368681758720,data\jd_rules\json\1082222368681758720_京东好燕窝-常温鲜炖燕窝品质认证质量标准.json,data\jd_rules\markdown\1082222368681758720_京东好燕窝-常温鲜炖燕窝品质认证质量标准.md
1082959259773308928,enterprise,京东好燕窝-屋燕净燕盏品质认证质量标准,京东开发平台屋燕净燕盏商品品质认证质量标准,2024-03-07,2026-03-27,2024-08-19,,https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1082959259773308928,data\jd_rules\json\1082959259773308928_京东好燕窝-屋燕净燕盏品质认证质量标准.json,data\jd_rules\markdown\1082959259773308928_京东好燕窝-屋燕净燕盏品质认证质量标准.md
1092693622501019648,enterprise,【修订】京东企业业务生鲜品类商品管理规则,【修订】京东企业业务生鲜品类商品管理规则,2024-04-03,2024-09-03,2024-04-02,,https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1092693622501019648,data\jd_rules\json\1092693622501019648_【修订】京东企业业务生鲜品类商品管理规则.json,data\jd_rules\markdown\1092693622501019648_【修订】京东企业业务生鲜品类商品管理规则.md
1095524940557455360,enterprise,京东开放平台免费上门退换服务规则, 京东开放平台免费上门退换服务规则,2024-04-11,2026-06-13,2024-10-16,,https://learn-jdm.jd.com/knowledge/rule/detail?ruleId=1095524940557455360,data\jd_rules\json\1095524940557455360_京东开放平台免费上门退换服务规则.json,data\jd_rules\markdown\1095524940557455360_京东开放平台免费上门退换服务规则.md
